"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007389","GO:0007389","pattern specification process","56/822","498/28891",2.05808594902566e-18,1.035011423765e-14,7.94637816950116e-15,"22420/18505/14472/13590/68897/16869/18121/15417/15412/15407/14534/320145/12022/17702/14186/16371/13865/15229/14313/12159/14106/12614/15423/21380/20465/18091/17240/12590/19434/18504/14179/15433/18508/11694/53883/18741/329795/18509/15207/15285/27428/30841/22255/12591/15258/15402/15404/15395/16974/269878/18553/22411/20377/15245/16373/76365",56
"GO:0048562","GO:0048562","embryonic organ morphogenesis","45/822","335/28891",5.61084952570874e-18,1.41084811323946e-14,1.08318926633156e-14,"14472/16869/18121/15417/15412/15407/22412/12159/50769/14106/110253/12614/12824/15423/21380/18091/17240/19662/18504/14179/14462/18508/20429/21384/11694/18741/99683/320790/18507/18124/13844/17150/14581/30841/15258/15402/15404/14461/16974/269878/17921/22411/504186/21683/76365",45
"GO:0003002","GO:0003002","regionalization","49/822","455/28891",1.64158691086533e-15,2.75184685824725e-12,2.11275115405405e-12,"18505/14472/13590/68897/16869/18121/15417/15412/15407/14534/320145/12022/17702/14186/16371/13865/15229/12159/14106/12614/15423/21380/18091/17240/12590/18504/14179/15433/18508/53883/18741/329795/18509/15207/15285/30841/12591/15258/15402/15404/15395/16974/269878/18553/22411/20377/15245/16373/76365",49
"GO:0060562","GO:0060562","epithelial tube morphogenesis","43/822","395/28891",6.24586348779172e-14,7.85261187002614e-11,6.02890191400527e-11,"22420/18505/14472/15364/216527/54710/16869/18121/19401/14534/69847/22412/17702/16371/15229/12159/73181/14106/12614/21380/18091/18504/14179/14462/99377/229700/18741/99683/207920/329795/21923/20563/27428/30841/14254/243362/15402/16974/269878/20377/67937/15245/16373",43
"GO:0009952","GO:0009952","anterior/posterior pattern specification","32/822","240/28891",4.45453335019875e-13,4.48036964362991e-10,3.43983754284822e-10,"18505/14472/13590/16869/18121/15417/15412/15407/14534/12022/17702/12159/14106/12614/15423/21380/12590/14179/15433/18508/53883/15207/30841/12591/15258/15402/15404/15395/16974/18553/20377/76365",32
"GO:0001763","GO:0001763","morphogenesis of a branching structure","32/822","249/28891",1.2322990871642e-12,1.03287201822479e-09,7.92995272231278e-10,"22420/14472/12817/15364/54710/16869/18121/22412/217325/17702/15229/12159/73181/18163/12614/21380/18504/14179/15433/20429/229700/18741/207920/329795/21923/20563/14254/15402/16974/20377/67937/15245",32
"GO:0030900","GO:0030900","forebrain development","42/822","425/28891",3.10222454382867e-12,2.22872674727348e-09,1.7111217483855e-09,"14472/15364/22187/16869/18121/15114/14534/58208/668303/22151/13865/18420/12159/50913/19280/19434/14179/14810/16874/269295/18508/22174/76089/12032/18741/16875/320790/18507/18124/13131/16975/13844/269610/20563/16873/30841/100609/22255/14461/74244/16485/16974",42
"GO:0048705","GO:0048705","skeletal system morphogenesis","32/822","266/28891",7.41384411213444e-12,4.66052775499051e-09,3.5781552899091e-09,"12817/16869/21387/18121/15417/15412/15407/19401/22412/17702/12159/12824/22410/15423/21380/17240/12590/16998/14179/20429/21384/11694/18507/22255/15402/15404/16974/269878/20377/12845/15245/17390",32
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","29/822","229/28891",2.01810798588004e-11,1.12767389566563e-08,8.65780127743623e-09,"22420/14472/15364/54710/16869/18121/22412/217325/17702/15229/12159/73181/12614/21380/18504/14179/15433/229700/18741/207920/329795/21923/20563/14254/15402/16974/20377/67937/15245",29
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","26/822","191/28891",4.34446788090623e-11,2.18483289730774e-08,1.67742191443832e-08,"22420/14472/15364/54710/16869/18121/22412/17702/15229/12159/73181/12614/21380/18504/14179/229700/18741/207920/329795/21923/20563/14254/15402/16974/67937/15245",26
"GO:0090596","GO:0090596","sensory organ morphogenesis","34/822","322/28891",6.2208745122972e-11,2.84407072021297e-08,2.18355671876614e-08,"14472/16869/18121/12677/12159/50769/110253/12614/12824/21380/19662/18504/14179/14462/18508/18741/99683/320790/18124/13844/17150/69743/14581/30841/14254/15258/14461/16974/17921/504186/23965/21683/76365/20147",34
