"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007411","GO:0007411","axon guidance","68/1961","252/28891",1.96178996824593e-23,5.86673290003945e-20,4.04231985562253e-20,"14472/14633/110648/13637/52666/16572/16971/22416/13643/237847/16869/18053/58208/20354/107448/15229/54713/14573/223435/17181/22422/140570/65079/545156/68193/18131/20359/13640/16774/353237/225743/26456/22326/16870/14725/18508/12064/12162/228994/18211/13636/12167/11876/230735/13842/20349/19699/231044/65254/243743/13848/14028/20355/108655/12661/20315/384569/20266/210801/18997/18186/244682/19649/58235/114873/13138/11878/13641",68
"GO:0097485","GO:0097485","neuron projection guidance","68/1961","252/28891",1.96178996824593e-23,5.86673290003945e-20,4.04231985562253e-20,"14472/14633/110648/13637/52666/16572/16971/22416/13643/237847/16869/18053/58208/20354/107448/15229/54713/14573/223435/17181/22422/140570/65079/545156/68193/18131/20359/13640/16774/353237/225743/26456/22326/16870/14725/18508/12064/12162/228994/18211/13636/12167/11876/230735/13842/20349/19699/231044/65254/243743/13848/14028/20355/108655/12661/20315/384569/20266/210801/18997/18186/244682/19649/58235/114873/13138/11878/13641",68
"GO:0060562","GO:0060562","epithelial tube morphogenesis","87/1961","395/28891",5.98195649662233e-23,1.19260272687661e-19,8.21731918746541e-20,"20671/12370/18505/14472/12043/14633/75605/13982/216285/15364/15110/22416/54710/11684/16869/380718/21393/69847/11622/66042/20474/20191/56044/15229/14165/71228/73181/18095/14573/252973/14368/12614/140570/106042/22408/19411/71461/20472/18018/18504/16814/18510/11350/16870/24136/14725/17242/54485/99377/21420/12162/64138/14173/20319/22414/12977/18741/99683/16842/269593/22417/13836/17769/18707/20349/18595/11839/21386/17295/22413/108655/20315/16974/20733/244058/18479/94109/50768/18186/18667/57246/18854/13036/13138/14734/22773/94275",87
"GO:0007389","GO:0007389","pattern specification process","99/1961","498/28891",2.03266682333274e-22,3.03934506758827e-19,2.09418174035465e-19,"20671/18505/14472/14633/13798/216285/11764/18423/15110/22416/16869/380718/22658/21393/12006/66042/13411/320145/17300/12022/15229/14165/54713/18095/14573/11838/22422/12614/106042/22408/19411/15427/15423/12667/20465/23872/57354/20473/20472/19434/18504/16814/18510/16917/16870/24136/14725/13392/15434/228357/18508/17536/54485/18088/18503/12162/59058/14173/380614/20319/22414/53883/18741/16842/12167/242620/66743/29871/18509/15206/19699/66993/17701/12020/17765/21386/22413/15400/15404/15405/24113/232174/13796/22421/16974/17537/13389/78405/27412/22411/24075/21892/18186/57246/17130/13813/14734/22773/13641",99
"GO:0001763","GO:0001763","morphogenesis of a branching structure","65/1961","249/28891",1.30201867714191e-21,1.2284761107495e-18,8.46449541721467e-19,"14472/12043/14633/75605/13982/72780/57764/15364/14025/54710/16869/380718/217325/12702/11622/20474/15229/14165/71228/73181/18095/14573/252973/12614/22408/20472/18018/18504/18510/11350/13392/17242/54485/21420/12162/64138/14173/20429/20319/22414/12977/18741/16842/22417/13836/20349/18595/11839/21386/17295/22413/20315/16974/20733/18479/94109/12550/18186/18667/57246/18854/13036/13138/14734/94275",65
"GO:0050767","GO:0050767","regulation of neurogenesis","97/1961","494/28891",1.37913011449485e-21,1.2284761107495e-18,8.46449541721467e-19,"29819/17756/20393/21907/15364/16971/12323/14025/76901/94091/118454/22416/13643/11421/20666/18080/20354/56320/18420/54713/382867/73181/14083/22422/140570/65079/545156/21844/27279/20359/13640/17344/17196/26456/18742/18011/22326/16870/24136/14725/13392/228357/17242/18508/12064/54485/228550/100313531/18088/15901/12162/723951/14173/20429/20194/18049/229715/16842/19266/16975/242620/19268/11426/56381/15206/20349/19699/66993/65254/13048/11423/17295/22413/243743/20355/21909/14461/22421/20315/13389/244058/23966/18479/13631/211323/22341/330790/13004/18997/387216/12550/18186/320563/13138/67095/171207/70237",97
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","62/1961","229/28891",1.43777508363927e-21,1.2284761107495e-18,8.46449541721467e-19,"14472/12043/14633/75605/13982/72780/57764/15364/54710/16869/380718/217325/12702/11622/20474/15229/14165/71228/73181/18095/14573/252973/12614/22408/20472/18018/18504/18510/11350/17242/54485/21420/12162/64138/14173/20319/22414/12977/18741/16842/22417/13836/20349/18595/11839/21386/17295/22413/20315/16974/20733/18479/94109/12550/18186/18667/57246/18854/13036/13138/14734/94275",62
"GO:0045165","GO:0045165","cell fate commitment","73/1961","307/28891",1.65877694506635e-21,1.24014311355523e-18,8.54488386833521e-19,"20671/22409/260298/18505/12043/14633/20668/21907/15110/22416/216795/57765/66042/58208/16450/116870/18740/14165/54713/22422/22408/12667/12394/23872/18131/12393/20472/14465/225207/18504/16814/16874/13392/18508/54485/76246/18088/21420/59058/14173/20319/229542/21384/22414/242620/21349/19207/22417/18509/231044/104382/14581/21386/72154/17341/14842/22413/232077/232174/14461/22421/20678/13389/78405/17927/23966/22411/211323/57246/18854/15379/13813/11878",73
"GO:0050807","GO:0050807","regulation of synapse organization","73/1961","309/28891",2.48902778539295e-21,1.65409724271503e-18,1.13971272278519e-18,"29819/93842/216169/12323/22416/13643/216856/18013/238205/59036/20474/11651/20354/56320/71228/14803/73181/75409/223254/14083/11838/105827/545156/21844/74762/13640/18011/241263/14810/171171/11350/69601/241514/228357/12064/228550/241770/208188/386750/18211/13636/229715/99633/19266/16975/19268/242662/230775/50791/19699/13048/14804/74342/22421/18430/269788/22346/80749/233067/11441/13631/211323/13004/330814/12404/15898/58235/64085/13138/53328/108672/70237/333605",73
"GO:0003002","GO:0003002","regionalization","91/1961","455/28891",6.85009306071085e-21,4.09704065961116e-18,2.82295940344031e-18,"20671/18505/14472/14633/13798/216285/11764/18423/15110/22416/16869/380718/22658/21393/12006/66042/13411/320145/17300/12022/15229/14165/54713/18095/14573/11838/22422/12614/106042/22408/19411/15427/15423/12667/23872/20473/20472/18504/16814/18510/16917/16870/24136/14725/13392/15434/228357/18508/54485/18088/18503/59058/14173/380614/20319/22414/53883/18741/16842/12167/242620/66743/29871/18509/15206/19699/66993/17701/12020/17765/21386/22413/15400/15404/15405/24113/232174/13796/22421/16974/13389/78405/22411/24075/21892/18186/57246/17130/13813/14734/22773",91
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","55/1961","191/28891",1.16850214828136e-20,6.04644877216709e-18,4.16614840733096e-18,"14472/12043/14633/75605/13982/15364/54710/16869/380718/11622/20474/15229/14165/71228/73181/18095/14573/12614/22408/20472/18018/18504/18510/11350/17242/54485/21420/12162/64138/14173/20319/22414/12977/18741/16842/22417/13836/20349/18595/11839/21386/17295/22413/20315/16974/18479/94109/18186/18667/57246/18854/13036/13138/14734/94275",55
"GO:0050803","GO:0050803","regulation of synapse structure or activity","73/1961","317/28891",1.21313133700059e-20,6.04644877216709e-18,4.16614840733096e-18,"29819/93842/216169/12323/22416/13643/216856/18013/238205/59036/20474/11651/20354/56320/71228/14803/73181/75409/223254/14083/11838/105827/545156/21844/74762/13640/18011/241263/14810/171171/11350/69601/241514/228357/12064/228550/241770/208188/386750/18211/13636/229715/99633/19266/16975/19268/242662/230775/50791/19699/13048/14804/74342/22421/18430/269788/22346/80749/233067/11441/13631/211323/13004/330814/12404/15898/58235/64085/13138/53328/108672/70237/333605",73
"GO:0048562","GO:0048562","embryonic organ morphogenesis","75/1961","335/28891",2.10660991708157e-20,9.69202608774219e-18,6.67803872499946e-18,"20671/14472/14633/15284/22295/11994/106947/216285/18423/15110/22416/216795/16869/22658/21393/16470/20666/20474/20191/193385/14165/14623/50769/107587/252973/14368/12614/22408/19411/15427/15423/328789/12393/71461/20473/20472/18504/16814/241226/18510/20204/13392/15434/20378/18508/12162/20429/13636/21384/18741/99683/17389/110805/73750/13836/17701/12020/18595/14581/21386/13396/15400/15404/15405/24113/14461/16974/22411/15372/54352/57246/114873/102502/26927/22773",75
"GO:0016358","GO:0016358","dendrite development","73/1961","327/28891",8.07460530785478e-20,3.44958673901996e-17,2.37684810377831e-17,"109294/29819/17974/17756/93842/20393/21907/52463/12323/14025/216856/216963/237868/18053/59036/218194/20354/56320/54713/71228/73181/75409/223254/17181/239420/11838/60597/106042/545156/21844/23969/11682/68166/664805/17344/19091/18011/14810/11350/69601/228357/12064/228550/15901/57138/12162/13636/53883/242443/19266/17475/16975/15572/19268/19699/65254/13048/11423/83766/17295/14763/21909/232227/22421/11441/18479/13631/270058/12286/18186/67095/108672/70237",73
"GO:0051962","GO:0051962","positive regulation of nervous system development","81/1961","391/28891",1.03866045893989e-19,4.14148546994632e-17,2.85358294508749e-17,"29819/20393/21907/16971/12323/14025/76901/118454/22416/216856/11421/20666/18080/20354/56320/18420/71228/382867/75409/14083/140570/105827/545156/21844/27279/13640/17344/18011/24136/14725/17242/18508/12064/228550/100313531/18088/723951/14173/20429/386750/18211/18049/229715/99633/19266/16975/242620/19268/11426/230775/56381/19699/66993/13048/11423/17295/22413/243743/14804/74342/22421/18430/20315/13389/23966/18479/13631/211323/22341/330790/13004/18997/330814/387216/12404/18186/320563/64085/13138/67095/70237",81
"GO:0030900","GO:0030900","forebrain development","85/1961","425/28891",1.34746175180695e-19,5.03698046097337e-17,3.47060049889752e-17,"18993/14472/14633/381293/110648/21907/15364/18423/22416/20185/237847/16869/18080/58208/218194/18740/18420/14165/54713/328365/75409/76510/22422/22408/65079/12667/74762/18131/20359/65960/11682/20473/19434/20689/19091/14810/69601/16874/16870/24136/18227/14725/13392/17242/18508/21420/59058/14173/22414/18741/16842/21350/16975/242620/15572/22417/15565/20349/19699/17701/231580/21386/16873/20602/14842/243743/24113/13796/14461/22421/20315/16485/16974/77582/18479/57752/211323/50768/18186/13813/22773/20675/11878/22589/211612",85
